ID,Pendiente,Tiempo,Velocidad
1,0,2,2.198837
2,0,2,4.914887
3,0,1,4.848908
4,0,1,5.98712
5,0,1,3.610444
6,0,1,2.815484
7,0,2,1.837343
8,0,2,0.418774
9,0,2,0.540142
10,0,2,13.337186
11,0.011542,2,15.595204
12,0,1,17.90906
13,0.009179,2,19.61069
14,0.017231,1,20.892071
15,0,2,20.355232
16,0.017426,1,20.658841
17,0,2,21.727395
18,0,1,22.868312
19,0,2,23.206437
20,0,1,20.584094
21,0.008792,2,20.472458
22,0.028161,2,6.391814
23,0,1,2.736518
24,0.041067,2,4.383085
25,0,1,2.509553
26,0,1,1.675098
27,0.028532,2,6.308811
28,0.013441,2,13.391761
29,0,2,16.428557
30,0,2,19.022985
31,0,1,22.042339
32,0.008247,2,21.826807
33,0.017037,2,21.130119
34,0.017025,1,21.145676
35,0.016363,1,22.000954
36,0.009153,2,19.66651
37,0,1,19.767438
38,0.016517,1,21.79517
39,0.00848,2,21.225821
40,0.00838,2,21.47872
41,0,1,22.883544
42,-0.050923,2,21.208592
43,0,2,23.868801
44,0,1,23.769752
45,0,1,24.645791
46,0,2,26.613432
47,0,1,25.974432
48,0,1,26.626122
49,0,1,27.699563
50,0.006887,2,26.137073
51,0,1,24.645791
52,0,1,24.830356
53,0.007045,2,25.550464
54,0,2,25.804237
55,0,1,25.551605
56,0.013537,1,26.593538
57,0.006702,2,26.858036
58,0.014304,1,25.168072
59,0.014204,2,25.345354
60,0.013695,1,26.287412
61,0.014571,2,24.706937
62,0,1,23.86121
63,0.007017,2,25.653393
64,-0.014749,1,24.408389
65,-0.04076,2,26.496275
66,-0.067963,2,29.133356
67,-0.068893,1,31.352846
68,-0.065971,1,32.741593
69,-0.042703,2,33.721648
70,-0.010298,2,34.958126
71,-0.005036,2,35.740363
72,0.007419,11,35.292543
73,0.047169,2,30.528342
74,0.052765,1,27.290653
75,0.055242,1,39.100511
76,0.037145,2,14.537432
77,0.037519,1,19.190495
78,0.039717,1,18.128063
79,0.021237,1,16.951187
80,0.04671,1,15.414264
81,0.020073,2,17.934277
82,0.020965,2,17.171276
83,0.010879,2,16.545071
84,0.010525,2,17.101708
85,-0.011451,2,15.718531
86,0,2,14.268847
87,-0.023703,1,15.187853
88,-0.011448,2,15.723
89,-0.024638,1,14.611817
90,0,2,18.165168
91,-0.009684,2,18.588029
92,0,1,20.462112
93,0,1,21.287956
94,0.017686,2,20.355232
95,0.025922,2,20.831846
96,0.026289,2,20.541213
97,0,1,18.325908
98,0.020201,2,17.820684
99,0.009013,2,19.971223
100,0.02027,1,17.759855
101,0.025758,2,13.976401
102,0.026172,1,13.755092
103,0.025321,2,14.217273
104,0.022416,2,16.059722
105,0.010494,2,17.153188
106,0.009516,2,18.915314
107,0.013835,2,39.032206
108,0.009785,1,36.791071
109,0.022303,2,24.211463
110,0.020963,1,17.172972
111,0.016762,1,21.477434
112,0.031035,2,17.399855
113,0.022788,2,15.797572
114,0.019724,1,18.252234
115,-0.010116,2,17.79383
116,0,1,19.414742
117,-0.019461,1,18.498812
118,-0.010623,2,16.943719
119,-0.009247,2,19.464934
120,-0.014008,1,25.698823
121,-0.014414,1,24.975281
122,-0.015799,1,22.7862
123,-0.007735,2,23.271653
124,-0.015551,1,23.149598
125,0,1,22.138139
126,-0.0175,2,20.571244
127,-0.009102,2,19.775932
128,-0.01327,1,27.12847
129,-0.008491,2,21.199032
130,-0.009066,2,19.85449
131,0,1,18.787187
132,-0.009761,2,18.441297
133,-0.008666,2,20.770844
134,0,1,21.90073
135,-0.016145,1,22.29804
136,0,2,20.694703
137,-0.008155,2,22.070997
138,0,1,21.144679
139,0,1,21.993239
140,-0.018626,2,19.328022
141,-0.020082,2,17.926767
142,-0.03368,1,21.377581
143,-0.014593,1,24.670084
144,-0.025374,2,28.37525
145,-0.018537,2,29.130624
146,-0.011824,1,30.445495
147,-0.022072,2,32.62046
148,-0.011176,1,32.213246
149,-0.02168,1,33.209842
150,-0.005744,2,31.337399
151,-0.011385,2,31.620056
152,0,2,30.514982
153,0,1,30.631766
154,-0.006249,2,28.802362
155,0,2,28.138066
156,-0.006713,2,26.813475
157,-0.035427,1,20.32353
158,-0.028908,2,24.907007
159,-0.042206,2,25.588951
160,-0.024367,2,22.161479
161,0,2,21.908484
162,0.007371,2,24.41889
163,-0.007608,2,23.658239
164,0,1,20.589084
165,0,1,17.70588
166,-0.010485,2,17.16707
167,-0.022907,1,15.715667
168,0,2,18.612722
169,0,1,20.695925
170,0,2,21.960445
171,0,1,23.002535
172,0,2,22.855948
173,0,2,22.941392
174,0,2,21.733762
175,-0.014223,1,25.311679
176,0,2,22.412473
177,0,1,23.62473
178,-0.007524,2,23.923867
179,-0.015297,1,23.533315
180,-0.007721,2,23.314054
181,0,1,24.129979
182,-0.007101,2,25.349054
183,-0.012776,1,28.176887
184,-0.013225,2,27.220871
185,0,1,29.062897
186,0,1,29.070526
187,-0.012516,1,28.763158
188,-0.006789,2,26.51193
189,-0.007499,2,24.001875
190,0,2,24.319786
191,0,2,25.427617
192,0,1,29.375885
193,-0.006848,2,26.283782
194,-0.007637,2,23.569781
195,0,2,20.71856
196,0,1,19.367377
197,0,2,16.797643
198,0,2,17.777956
199,0,2,16.940707
200,-0.017011,1,21.163
201,-0.008831,2,20.382372
202,0,2,15.88975
203,-0.013807,1,26.074451
204,0,1,20.766028
205,0,2,22.275256
206,0,1,23.797789
207,0,2,15.75187
208,-0.135236,1,7.98602
209,0,1,4.395424
210,0,2,5.646469
211,0,1,3.550979
212,0,2,10.658412
213,-0.026565,1,13.551844
214,0,1,14.802829
215,0,1,14.118754
216,0,1,13.117158
217,0,2,12.044068
218,0.023886,1,15.071296
219,0,1,4.923065
220,0,2,11.780717
221,0,2,13.201666
222,0,2,12.838795
223,0,1,10.40603
224,0,2,7.517554
225,0,1,4.237002
226,0,2,3.272641
227,0,2,0.241936
228,0,1,0.835628
229,0,3,0.160817
230,0,2,0.800053
231,0,2,0.63839
232,0,30,0.51837
233,0,2,11.888644
234,0,1,8.720507
235,0,2,14.154939
236,0,2,15.959286
237,0,1,15.834564
238,-0.011965,2,15.043626
239,0,1,16.803036
240,0,2,13.571041
241,-0.024268,1,14.834128
242,0,1,5.963627
243,0,2,16.615649
244,0,2,23.682722
245,-0.007947,2,22.649274
246,0,2,21.824467
247,0.015814,1,22.76411
248,0.016001,2,22.499287
249,-0.007907,2,22.764112
250,0,2,20.068726
251,0,1,20.785658
252,-0.017593,1,20.462112
253,0,1,20.98625
254,-0.008407,2,21.40958
255,0,1,21.781796
256,-0.008345,2,21.569344
257,0,1,20.89062
258,0,2,21.834137
259,0,2,19.575589
260,0,1,19.935893
261,-0.01033,2,17.424909
262,0,1,19.220663
263,-0.01824,1,19.736399
264,0,1,18.338706
265,-0.010193,2,17.658405
266,-0.009541,2,18.865219
267,0,1,18.200585
268,-0.009986,2,18.026084
269,0,1,19.86376
270,0,2,20.098184
271,0,2,19.392046
272,-0.010846,2,16.595665
273,0,2,13.153815
274,0,2,15.334609
275,0,1,19.873609
276,0,2,17.08922
277,0,1,19.544836
278,0,2,21.490688
279,0,2,21.61778
280,0,1,24.832667
281,-0.007681,2,23.432958
282,0,2,21.227418
283,0,2,20.640101
284,0,2,23.468382
285,0,2,18.12065
286,0,1,21.236641
287,0,1,22.931089
288,0.008305,2,21.674023
289,0,1,20.139178
290,0,2,21.274137
291,0,2,20.849504
292,0,1,20.665843
293,0,2,21.653105
294,-0.009408,2,19.132486
295,0,1,18.338706
296,0,2,19.106714
297,0,1,20.98625
298,0,1,20.158582
299,0,1,19.31773
300,0,1,20.55668
301,-0.009547,2,18.854312
302,0,2,17.173058
303,0,1,19.413446
304,0,2,20.206033
305,0,2,20.02865
306,-0.009157,2,19.656747
307,0,1,21.465083
308,0,2,19.338529
309,-0.011453,2,15.716842
310,0,2,15.758764
311,0,2,18.002072
312,-0.016062,1,22.413776
313,0,1,21.429608
314,0,2,22.690165
315,0,2,19.882292
316,-0.008969,2,20.068726
317,0,2,21.317324
318,0,1,21.398418
319,0,2,20.037312
320,0,2,19.918012
321,0,2,18.040484
322,0.014949,1,24.081635
323,0,2,21.383696
324,0,2,18.761807
325,0,1,18.16654
326,0,2,15.706573
327,0,1,17.713058
328,0,2,17.752896
329,-0.009592,2,18.765142
330,0,2,19.782049
331,0,2,15.197072
332,-0.00901,2,19.978268
333,0,1,21.230665
334,-0.019599,1,18.368449
335,0,1,18.763366
336,0,1,19.291273
337,0,1,19.935893
338,0,1,23.797789
339,-0.00884,2,20.360902
340,0,1,21.230665
341,0,2,19.338529
342,0,2,19.709492
343,0,1,19.544836
