ID,Pendiente,Tiempo,Velocidad
1,0.000000,2,1.107749
2,0.000000,2,1.508938
3,0.000000,2,2.188210
4,0.000000,2,1.884526
5,0.000000,1,4.886878
6,0.000000,2,6.459750
7,0.000000,1,10.698955
8,0.000000,2,8.361752
9,0.000000,2,8.224931
10,0.000000,1,16.815852
11,0.000000,1,6.491189
12,0.000000,1,14.771210
13,0.000000,1,13.879177
14,0.000000,2,12.149321
15,-0.063314,2,17.057801
16,-0.038611,1,18.647737
17,-0.012387,2,14.531452
18,-0.026115,1,13.785170
19,-0.021732,2,16.565776
20,-0.010451,2,17.222938
21,0.000000,1,17.243338
22,0.000000,2,14.848675
23,-0.015288,2,11.774216
24,0.000000,1,12.294562
25,0.000000,1,25.665336
26,0.000000,2,16.116248
27,0.000000,1,15.950102
28,-0.011498,2,15.655100
29,0.000000,1,11.445365
30,0.000000,1,16.763717
31,0.000000,2,16.462458
32,-0.021497,1,16.746523
33,0.000000,1,19.653635
34,0.000000,2,18.492784
35,0.000000,2,18.518530
36,0.000000,2,18.250648
37,0.000000,2,19.503803
38,0.000000,1,20.431717
39,0.000000,1,23.801335
40,0.000000,2,20.915584
41,0.000000,2,19.923462
42,0.000000,1,16.470083
43,0.000000,2,15.071396
44,0.000000,2,17.611677
45,0.000000,2,20.251390
46,0.000000,2,18.725105
47,0.000000,1,18.203159
48,0.000000,1,18.194731
49,0.000000,1,18.795758
50,0.000000,2,13.840106
51,0.000000,1,15.037538
52,0.000000,2,14.533267
53,0.000000,1,11.560982
54,-0.041971,1,8.577432
55,-0.015761,2,11.420759
56,0.000000,1,16.746509
57,-0.020631,1,17.449747
58,-0.016247,2,22.157921
59,-0.017342,2,20.758964
60,-0.017611,1,20.441570
61,-0.009465,2,19.017706
62,-0.024633,1,14.614369
63,0.000000,1,19.361340
64,0.000000,2,21.429607
65,0.000000,2,19.223147
66,0.000000,2,16.352647
67,0.022481,1,16.013311
68,0.010361,2,17.373488
69,0.030144,2,17.914239
70,0.000000,2,18.000634
71,0.000000,2,19.099606
72,-0.016695,1,21.562942
73,-0.008954,2,20.103161
74,0.000000,1,20.409458
75,-0.008569,2,21.006592
76,0.000000,2,21.909946
77,-0.009589,2,18.772333
78,0.000000,1,15.059981
79,-0.009448,2,19.052437
80,0.000000,1,21.736948
81,0.000000,1,20.374794
82,0.000000,2,23.717045
83,0.008895,2,20.236387
84,0.000000,1,24.620908
