ID,Pendiente,Tiempo,Velocidad
1,0.000000,1,1.671516
2,0.000000,1,1.367251
3,0.000000,2,6.609748
4,0.000000,2,0.837549
5,0.000000,1,5.776445
6,-0.017829,2,10.095809
7,0.000000,2,14.351434
8,-0.014003,2,12.854279
9,0.000000,1,11.663089
10,0.000000,2,12.860456
11,-0.006661,2,27.023526
12,-0.008844,2,20.352863
13,-0.008029,2,22.419769
14,-0.009425,2,19.098781
15,0.000000,2,18.725107
16,-0.018545,1,19.412424
17,0.000000,2,19.103513
18,0.000000,2,15.477991
19,-0.009010,2,19.978209
20,0.000000,1,20.072765
21,0.000000,1,19.786507
22,-0.009576,2,18.797308
23,0.000000,1,16.897608
24,0.000000,2,21.900433
25,0.000000,2,20.922287
26,0.000000,1,19.076152
27,0.000000,1,20.241202
28,0.000000,2,18.621245
29,0.000000,1,21.120098
30,0.000000,1,22.419266
31,0.000000,2,21.041429
32,0.000000,1,25.800412
33,0.000000,2,17.881564
34,0.000000,1,19.758262
35,0.000000,1,18.037451
36,0.000000,2,20.620132
37,0.000000,1,20.212819
38,0.000000,2,20.866221
39,0.000000,1,20.770052
40,0.000000,1,22.234878
41,0.000000,2,20.166642
42,0.000000,1,20.550470
43,-0.019569,1,18.396846
44,0.000000,1,20.350904
45,-0.015466,2,23.277271
46,-0.020081,1,17.927766
47,-0.017744,2,20.288929
48,-0.015079,2,23.874017
49,-0.014784,1,24.351372
50,-0.014276,1,25.217453
51,0.000000,2,25.495996
52,0.000000,2,25.220160
53,0.007556,2,23.821727
54,0.016638,1,21.637044
55,0.015208,1,23.671397
56,0.031898,1,22.572036
57,0.000000,2,21.843581
58,0.000000,1,22.887724
59,-0.013418,1,26.829418
60,-0.007464,2,24.115279
61,-0.007444,2,24.181112
62,0.000000,1,26.276850
63,0.000000,1,24.852308
64,-0.007535,2,23.887591
65,-0.008938,2,20.138809
66,0.000000,1,20.304472
67,0.000000,1,27.169628
68,0.000000,1,28.866168
69,0.000000,2,25.392479
70,0.011979,1,30.053297
71,0.006134,2,29.345015
72,0.000000,1,21.836110
73,0.000000,2,24.128118
74,0.000000,2,26.584128
