ID,Pendiente,Tiempo,Velocidad
1,0.000000,1,0.483116
2,0.000000,1,1.675098
3,0.000000,2,0.724277
4,0.000000,2,1.917313
5,0.023776,2,7.570773
6,0.000000,1,4.448340
7,0.000000,2,10.395880
8,0.000000,1,10.604329
9,0.000000,2,11.849895
10,0.000000,1,12.037219
11,0.000000,2,10.787663
12,0.000000,2,10.763615
13,0.029665,2,12.135580
14,0.012606,2,14.279308
15,0.000000,1,17.859038
16,0.000000,2,16.062802
17,0.000000,2,15.830879
18,0.000000,1,16.154320
19,0.000000,2,18.059485
20,0.000000,2,17.241626
21,0.000000,1,17.154842
22,0.022037,2,16.336258
23,0.012790,2,14.073793
24,0.025944,1,13.876009
25,0.012148,2,14.816786
26,0.000000,1,14.354708
27,0.000000,1,13.659390
28,0.000000,2,15.005745
29,0.011241,2,16.012370
30,0.000000,2,14.158795
31,0.000000,2,15.318619
32,0.000000,1,16.024918
33,-0.011292,2,15.940694
34,0.000000,2,15.492370
35,0.000000,1,14.979485
36,0.012393,2,14.524376
37,0.018935,1,19.012741
38,0.000000,1,18.155902
39,0.033897,2,15.930725
40,0.021296,1,16.904491
41,0.023585,2,15.263788
42,0.026204,1,13.738478
43,0.000000,2,13.283597
44,0.000000,2,14.931446
45,0.000000,2,14.278480
46,0.022981,1,15.665015
47,0.039358,2,13.720117
48,0.000000,1,13.184935
49,0.012853,2,14.004635
50,0.012828,2,14.032168
51,0.011177,2,16.103806
52,0.000000,1,15.023430
53,0.011129,2,16.173416
54,0.010765,2,16.720461
55,0.000000,2,16.132691
56,0.000000,2,17.276578
57,0.011408,2,15.777832
58,0.000000,2,17.324759
59,0.000000,2,17.406850
60,0.010765,2,16.720461
61,0.000000,1,19.188475
62,0.000000,1,16.476023
63,0.000000,1,19.479575
64,0.000000,1,18.607442
65,0.000000,2,21.294320
66,0.000000,1,20.099221
67,0.008382,2,21.475271
68,0.000000,2,21.361163
69,0.010149,2,17.735243
70,0.000000,2,8.475802
71,0.000000,2,4.956709
72,0.000000,2,5.458252
73,0.000000,1,7.813364
74,0.017193,2,10.469320
75,0.000000,2,11.253559
76,0.000000,2,14.749551
77,0.000000,1,15.038910
78,0.000000,2,16.848088
79,0.000000,1,18.642762
80,0.000000,2,17.432019
81,0.000000,2,18.750143
82,0.000000,2,20.553343
83,0.000000,2,18.964728
84,0.000000,1,18.911423
85,0.000000,1,19.113430
86,-0.009251,2,19.457563
87,0.000000,1,20.682187
88,0.000000,2,20.724340
89,0.000000,2,21.457116
90,0.000000,1,22.380491
91,0.000000,2,19.964137
92,0.000000,1,19.184598
93,0.000000,2,19.350290
94,0.000000,1,20.413800
95,0.000000,2,19.830701
96,0.000000,2,19.758683
97,-0.009959,2,18.073814
98,0.000000,2,19.294987
99,0.000000,1,20.465050
100,0.000000,1,22.247006
101,0.000000,2,23.961494
102,0.000000,2,22.885067
103,-0.007894,2,22.802909
104,0.000000,2,19.041919
105,0.000000,1,17.311327
106,0.000000,2,19.107508
107,0.000000,2,18.576130
108,-0.009432,2,19.084660
109,0.000000,2,19.781523
110,0.000000,1,22.208220
111,0.000000,2,19.602077
112,0.000000,2,17.272616
113,0.000000,1,14.692255
114,0.000000,2,16.360528
115,0.000000,1,15.944742
116,0.030867,1,11.663089
117,0.022471,2,8.010308
118,0.000000,1,9.692338
119,0.000000,2,11.001782
120,0.012477,2,14.426780
121,0.000000,2,12.958996
122,0.011852,2,15.187837
123,0.011998,2,15.002896
124,0.000000,1,16.446434
125,0.011284,2,15.951937
126,0.022831,1,15.767874
127,0.000000,1,13.594745
128,0.000000,1,16.339313
129,0.009054,2,19.879623
130,0.000000,2,16.756114
131,0.000000,1,18.473026
132,0.009810,2,18.349043
133,0.000000,1,18.339458
134,0.009113,2,19.751132
135,0.007854,2,22.917636
136,0.000000,1,21.641126
137,0.000000,2,22.538831
138,0.000000,2,23.640775
139,0.000000,1,37.067083
140,0.000000,2,12.356750
141,0.000000,1,21.206333
142,0.000000,2,22.322117
143,-0.008226,2,21.880528
144,0.000000,1,21.532687
145,0.000000,2,25.210609
146,0.000000,1,27.314017
147,0.000000,2,28.675363
148,0.000000,2,27.901921
149,0.000000,2,24.318326
150,0.007161,2,25.135036
151,0.000000,1,40.596638
152,0.000000,2,15.404053
153,0.000000,2,25.712840
154,0.000000,2,20.526808
155,0.000000,2,19.931382
156,0.000000,2,18.778660
157,0.000000,2,19.551253
158,0.000000,2,21.959642
159,0.000000,2,20.413602
160,0.009032,2,19.928443
161,0.000000,2,19.421753
162,0.000000,1,17.172986
163,0.009470,2,19.006754
164,0.000000,2,20.692953
165,0.000000,2,21.389296
166,0.000000,1,21.131244
167,0.008415,2,21.389296
168,0.000000,2,22.718722
169,0.000000,2,20.692953
170,0.000000,2,20.233330
171,0.009098,2,19.785184
172,0.008818,2,20.413602
173,0.000000,2,19.543763
174,0.020520,1,17.543902
175,0.000000,2,13.551606
176,0.000000,2,18.135236
177,0.000000,1,19.932844
178,0.008602,2,20.925477
179,0.000000,2,19.602077
180,0.008085,2,22.262587
181,0.000000,1,22.333896
182,-0.008943,2,20.127467
183,0.000000,1,19.165046
184,0.000000,2,18.181975
185,0.015674,1,22.967280
186,0.000000,2,17.736183
187,0.000000,1,19.165046
188,0.009497,2,18.954329
189,0.000000,2,19.931380
190,0.007774,2,23.154034
191,0.000000,2,19.006753
192,0.019183,1,18.766188
193,0.009712,2,18.533543
194,0.000000,2,18.135234
195,0.000000,2,18.251060
196,0.000000,1,11.964395
197,0.000000,1,15.440105
198,-0.011595,2,15.523661
199,-0.017965,1,20.038770
200,-0.036483,2,19.735112
201,-0.016043,1,22.439794
202,-0.018078,2,19.913796
203,-0.025493,2,21.181986
204,0.000000,1,22.184215
205,0.000000,2,22.164523
206,-0.017046,1,21.118716
207,-0.016880,1,21.327088
208,-0.009030,2,19.934599
209,-0.018540,2,19.417837
210,-0.016159,1,22.278431
211,0.000000,1,22.147438
212,-0.008473,2,21.244806
213,-0.008186,2,21.988600
214,0.000000,2,19.598699
215,-0.025922,1,13.887608
216,-0.009986,2,18.025465
217,-0.009271,2,19.415662
218,0.000000,1,16.634959
219,-0.018093,1,19.897715
220,0.000000,2,21.038654
221,-0.008625,2,20.869542
222,0.035635,2,20.204982
223,0.036755,1,19.589008
224,0.033078,1,21.766756
225,0.000000,2,18.957514
226,0.000000,1,20.462872
227,-0.019082,1,18.866171
228,0.000000,1,18.179176
229,0.000000,2,21.620324
230,0.000000,1,24.781651
231,0.000000,2,19.854166
232,-0.016810,1,21.416422
233,-0.008266,2,21.775626
234,-0.016242,2,22.164739
235,-0.008126,2,22.151396
236,0.000000,1,33.939284
237,-0.011358,2,15.847754
238,0.000000,1,19.940116
239,-0.010313,2,17.454175
240,0.010114,2,17.797352
241,0.017344,1,20.756732
242,0.000000,2,16.324346
243,0.009050,2,19.890434
244,0.016271,1,22.125604
245,0.000000,1,19.621465
246,0.010353,2,17.386895
247,0.018037,1,19.958670
248,0.009031,2,19.931380
249,0.000000,1,17.207003
250,0.000000,1,12.275766
251,0.000000,1,12.855521
252,0.000000,2,14.051812
253,0.000000,1,13.949388
254,0.000000,1,15.979442
255,0.000000,2,18.181973
256,-0.010685,2,16.846108
257,-0.010255,2,17.553240
258,0.000000,2,18.677848
259,0.000000,2,19.761491
260,0.000000,2,21.250006
261,0.000000,2,21.619292
262,0.010610,2,16.964962
263,0.000000,1,15.558638
264,0.013069,2,13.773393
265,0.000000,1,14.862964
266,0.011497,2,15.656132
267,0.024403,1,14.752260
268,0.013131,2,13.708343
269,0.015826,2,11.373518
270,0.026849,1,13.408546
271,0.000000,1,13.575622
272,0.000000,1,12.588890
273,0.010342,2,17.404691
274,0.000000,1,19.897715
275,0.000000,1,18.777740
276,0.008717,2,20.648401
277,0.000000,2,18.109197
278,0.000000,1,21.390332
279,0.000000,2,17.756559
280,0.020317,1,17.718847
281,0.000000,1,17.718847
282,0.000000,2,18.448835
283,0.011009,2,16.350547
284,0.000000,2,17.007937
285,0.000000,1,16.386113
286,0.000000,1,16.262734
287,0.010698,2,16.825637
288,0.000000,2,15.425042
289,0.000000,1,22.088376
290,0.000000,2,19.415662
291,0.000000,1,19.557090
292,-0.008341,2,21.580160
293,-0.017354,1,20.743992
294,-0.008717,2,20.650122
295,0.000000,2,22.875986
296,0.000000,1,22.699804
297,-0.008321,2,21.632434
298,0.000000,1,22.987278
299,0.000000,1,22.213487
300,0.000000,2,21.788390
301,-0.008381,2,21.476633
302,-0.008870,2,20.292975
303,0.000000,1,21.085632
304,0.000000,2,23.006263
305,0.000000,1,20.788844
306,0.000000,2,21.295694
307,0.000000,2,21.068258
308,0.000000,1,20.465050
309,0.000000,1,18.500789
310,0.000000,2,19.667554
311,0.000000,1,20.956090
312,-0.016776,1,21.459845
313,-0.008714,2,20.656852
314,0.000000,1,20.291533
315,0.000000,1,20.521829
316,0.000000,2,21.492353
317,0.000000,2,21.532925
318,0.000000,1,19.251216
319,0.000000,1,18.777740
320,0.000000,1,19.347685
321,0.000000,2,18.019517
322,0.021257,1,16.935307
323,0.000000,1,14.644624
324,0.000000,1,14.644624
325,0.013659,2,13.178102
326,0.000000,2,11.774817
327,0.010182,2,17.678284
328,0.009273,2,19.410752
329,0.008854,2,20.329141
330,0.011685,2,15.403761
331,0.000000,1,16.264901
332,0.000000,1,24.947975
333,0.000000,2,25.472738
334,-0.016337,2,22.035724
335,-0.016211,2,22.207801
336,-0.015447,1,23.306234
337,-0.008703,2,20.683602
338,-0.016683,1,21.578807
339,-0.008668,2,20.765027
340,0.000000,1,18.975006
341,-0.016433,1,21.907516
342,0.018077,1,19.915265
343,0.000000,2,23.256400
344,0.000000,1,23.773752
345,0.000000,2,20.463619
346,0.000000,1,21.864960
347,0.000000,1,20.153434
348,0.000000,1,22.278431
349,0.000000,1,20.833553
350,0.000000,1,21.560458
351,0.000000,2,20.007815
352,0.000000,1,21.327088
353,-0.008453,2,21.294320
354,0.000000,1,22.540302
355,-0.008835,2,20.374531
356,0.000000,1,28.975471
357,0.000000,2,16.522659
358,-0.008933,2,20.149452
359,0.000000,1,20.788844
360,0.000000,2,20.652629
361,0.000000,2,21.532925
362,0.000000,2,19.961953
363,0.000000,1,19.293469
364,0.000000,2,18.073814
365,0.000000,2,20.069876
366,0.000000,2,20.377447
367,0.000000,2,20.739740
368,0.000000,1,20.589084
369,0.000000,1,26.558816
370,0.011096,2,16.221721
371,0.000000,1,20.038770
372,0.000000,2,22.077972
373,0.000000,2,21.654173
374,0.008379,2,21.483203
375,0.000000,1,22.485244
376,0.000000,2,21.583906
377,-0.017377,1,20.716661
378,0.000000,2,20.816752
379,0.000000,2,20.490325
380,0.000000,1,21.435066
381,0.008094,2,22.238298
382,0.000000,1,19.955534
383,0.000000,1,21.930887
384,0.008506,2,21.162546
385,0.000000,2,19.699528
386,0.000000,1,21.837938
387,0.000000,1,22.413776
388,0.008867,2,20.299990
389,0.000000,1,21.242149
390,0.017814,2,20.208924
391,0.017813,2,20.209925
392,0.019059,1,18.888905
393,0.020383,2,17.661715
394,0.000000,2,16.651861
395,0.000000,1,16.860031
396,-0.008957,2,20.095016
397,0.000000,1,20.415190
398,0.000000,1,17.814910
399,0.000000,2,21.336088
400,-0.009463,2,19.022317
401,0.000000,1,20.380532
402,0.000000,1,20.095016
403,0.000000,1,23.139338
404,0.000000,2,23.351040
405,0.000000,2,22.859786
406,0.000000,1,21.916267
407,0.000000,1,18.550973
408,0.000000,1,18.550973
409,0.000000,2,22.356018
410,0.000000,1,25.985725
411,0.000000,2,21.825144
412,0.017071,1,21.088188
413,0.000000,1,20.218014
414,0.008016,2,22.454431
415,0.007851,2,22.926568
416,0.000000,1,21.058542
417,0.018915,1,19.032026
418,0.000000,2,20.644517
419,0.008375,2,21.492337
420,0.008760,2,20.547859
421,0.000000,1,19.742321
422,0.009488,2,18.971550
423,0.020582,1,17.491126
424,0.011966,2,15.043100
425,0.000000,2,13.618494
426,0.023112,1,15.576149
427,0.000000,1,15.715663
428,0.010795,2,16.675070
429,0.010585,2,17.005810
430,0.021952,1,16.399152
431,0.020892,1,17.231234
432,0.023104,2,15.581673
433,0.022305,1,16.140103
434,0.011055,2,16.281882
435,0.022571,2,15.949616
436,0.024181,1,14.887483
437,0.035559,2,15.185968
438,0.023114,1,15.574986
439,0.033482,2,16.128248
440,0.022644,2,15.898086
441,0.038218,2,14.129460
442,0.024356,1,14.780545
443,0.051622,1,13.947628
444,0.025817,1,13.944409
445,0.037167,2,14.528903
446,0.024178,2,14.889442
447,0.052435,1,13.731170
448,0.028616,2,12.580420
449,0.029938,2,12.024659
450,0.055992,1,12.858934
451,0.042804,2,12.615750
452,0.057232,2,12.580420
453,0.029375,1,12.255401
454,0.061993,2,11.614255
455,0.034450,1,10.449824
456,0.044541,2,12.123751
457,0.070973,1,10.144660
458,0.037072,2,9.710939
459,0.053726,1,13.401274
460,0.082259,1,4.376419
461,0.039207,2,9.182003
462,0.046921,1,7.672457
463,0.059183,2,9.124211
464,0.048435,2,11.149015
465,0.031838,1,11.307089
466,0.063677,1,11.307089
467,0.033343,2,10.796951
468,0.065062,1,11.066429
469,0.031188,1,11.542777
470,0.029878,1,12.048908
471,0.058369,1,12.335252
472,0.030525,1,11.793593
473,0.047273,2,11.422984
474,0.032010,1,11.246598
475,0.056039,1,12.848249
476,0.067163,2,13.400233
477,0.027645,1,13.022291
478,0.066664,2,13.500562
479,0.080057,1,13.490334
480,0.076704,2,14.080158
481,0.067203,2,13.392328
482,0.083756,2,12.894527
483,0.057129,1,12.602974
484,0.080651,1,13.390952
485,0.085758,2,12.593524
486,0.085790,1,12.588890
487,0.071000,2,10.140845
488,0.000000,1,11.273735
489,0.030867,1,11.662978
490,0.063865,1,11.273735
491,0.032360,2,11.124778
492,0.050621,2,10.667421
493,0.051970,2,10.390633
494,0.037633,1,9.566039
495,0.042392,2,12.738236
496,0.048363,1,14.887483
497,0.052679,1,13.667634
498,0.056772,2,12.682350
499,0.027645,1,13.022291
500,0.045376,2,11.900689
501,0.056983,2,12.635417
502,0.059784,1,12.043408
503,0.014662,2,12.276374
504,0.023415,1,15.374887
505,0.032290,2,11.149015
506,0.028414,2,12.669649
507,0.057724,1,12.473186
508,0.031838,1,11.307089
509,0.066771,1,16.174609
510,0.065864,1,5.465848
511,0.045875,2,11.771174
512,0.057129,1,12.602974
513,0.055465,2,12.981152
514,0.048227,2,14.929405
515,0.048700,2,14.784493
516,0.051270,1,21.064936
517,0.060509,2,11.899003
518,0.023944,1,15.035105
519,0.027393,1,13.142210
520,0.041970,2,12.866258
521,0.028003,1,12.855719
522,0.062377,1,11.542777
523,0.031003,1,11.611746
524,0.029115,2,12.364767
525,0.054883,1,13.118922
526,0.031613,1,11.387779
527,0.042922,2,12.581064
528,0.025737,1,13.987444
529,0.043987,2,12.276373
530,0.034450,2,10.449824
531,0.049121,1,14.657656
532,0.017427,2,10.328695
533,0.016874,2,10.667421
534,0.029525,2,12.192926
535,0.000000,1,12.167179
536,0.028322,1,12.710995
537,0.034201,2,10.526119
538,0.038687,1,9.305496
539,0.029269,2,12.299767
540,0.030646,1,11.747232
541,0.041994,2,12.858935
542,0.030581,2,11.772110
543,0.032745,1,10.993961
544,0.000000,1,13.797400
545,0.030872,2,11.661093
546,0.000000,1,13.451810
547,0.014847,2,12.123751
548,0.028018,2,12.849052
549,0.027383,1,13.147031
550,0.000000,1,12.300574
551,0.015498,2,11.614426
552,0.030646,1,11.747232
553,0.000000,2,12.712333
554,0.028635,1,12.571945
555,0.000000,1,12.571945
