ID,Pendiente,Tiempo,Velocidad
1,0.000000,5,0.136860
2,0.000000,2,0.418037
3,0.000000,2,1.837346
4,0.000000,2,3.834628
5,0.000000,1,2.813296
6,0.000000,2,1.600175
7,0.332726,2,0.540986
8,0.000000,1,2.051975
9,0.000000,2,6.400586
10,0.000000,2,9.290248
11,0.014703,2,12.242518
12,0.012930,2,13.921385
13,0.000000,1,14.168221
14,0.012297,2,14.638284
15,0.000000,1,15.213326
16,0.000000,2,15.153885
17,0.024990,1,14.405839
18,0.000000,2,13.901474
19,0.013365,2,13.468514
20,0.000000,2,15.278902
21,0.012774,2,14.090643
22,0.012772,2,14.093829
23,0.012890,2,13.964485
24,0.000000,2,10.831590
25,0.000000,2,13.317719
26,0.000000,2,12.963595
27,0.000000,1,11.900322
28,0.000000,1,11.153178
29,0.000000,1,10.781780
30,0.013551,2,13.283627
31,0.000000,1,14.405839
32,0.012327,2,14.601596
33,0.000000,1,15.276996
34,0.000000,1,13.795880
35,0.027875,1,12.914924
36,0.000000,1,14.671584
37,0.023511,1,15.311891
38,0.035217,1,20.444684
39,0.000000,2,14.492324
40,0.000000,1,19.815030
41,0.000000,1,21.567953
42,0.009758,2,18.446101
43,0.000000,2,14.291249
44,0.000000,2,14.890739
45,0.000000,1,18.103975
46,0.011416,2,15.766877
47,0.000000,2,27.331589
48,0.000000,2,29.899258
49,0.000000,2,36.240449
50,0.000000,1,63.639212
51,0.012258,1,29.367918
52,0.000000,1,30.573720
53,0.005821,2,30.919867
54,0.000000,1,38.022059
55,0.000000,2,36.159089
56,0.000000,1,32.742644
57,0.000000,2,32.668931
58,0.009341,1,38.538889
59,0.000000,2,36.093827
60,0.000000,2,32.250582
61,0.000000,2,31.604051
62,0.000000,1,33.441610
63,0.005951,2,30.247414
64,0.000000,1,30.438785
65,0.000000,2,29.534690
66,0.000000,2,30.383566
67,0.000000,2,26.581687
68,0.000000,2,26.405186
69,0.000000,1,23.468209
70,0.000000,1,29.794630
71,0.000000,2,30.092092
72,0.000000,1,29.888204
73,0.000000,2,26.225168
74,0.000000,1,26.987072
75,0.000000,2,22.021209
76,0.000000,1,21.184916
77,0.000000,2,24.263224
78,0.000000,1,28.370149
79,0.000000,1,27.971924
80,0.006858,2,26.245903
81,0.000000,2,29.180947
82,0.000000,2,25.035752
83,0.000000,1,23.909771
84,0.000000,2,20.729869
85,0.007768,2,23.171134
86,0.000000,2,21.667090
87,0.000000,1,24.276161
88,-0.016921,1,21.275690
89,0.000000,2,19.462426
90,-0.014770,1,24.373811
91,0.000000,2,18.079121
92,0.000000,2,14.853310
93,-0.009995,2,18.009140
94,0.000000,2,23.774278
95,-0.013213,1,27.244980
96,0.000000,1,21.434497
97,-0.019744,1,18.232970
98,-0.011099,2,16.217903
99,0.000000,2,27.068872
100,-0.015053,1,23.915329
101,0.000000,2,19.706447
102,0.000000,2,24.538835
103,-0.022129,2,24.402652
104,-0.016165,1,22.269906
105,-0.026305,2,20.528471
106,-0.016423,1,21.920220
107,-0.016227,2,22.185396
108,0.008717,2,20.648965
109,0.009486,2,18.974520
110,-0.016409,1,21.939278
111,0.000000,1,25.019914
112,0.000000,1,22.972000
113,0.000000,2,21.461116
114,0.000000,2,21.784903
115,0.017123,1,21.024738
116,0.008607,2,20.912951
117,0.000000,2,19.950223
118,0.011701,2,15.383435
119,0.000000,1,21.046889
120,0.009356,2,19.239050
121,0.010743,2,16.754526
122,0.026482,2,13.594363
123,0.012837,2,14.022016
124,0.019787,1,18.194159
125,0.021724,2,16.571425
126,0.000000,1,22.735566
127,0.047375,2,11.398462
128,0.048743,1,14.771210
129,0.051681,1,13.931546
130,0.054728,2,13.155957
131,0.037739,2,14.308772
132,0.047827,1,15.054318
133,0.050477,1,14.263967
134,0.047969,2,11.257189
135,0.037614,2,9.571018
136,0.000000,1,10.138219
137,0.017765,2,10.132481
138,0.034209,2,10.523444
139,0.000000,1,13.153730
140,0.026241,2,6.859469
141,0.015928,2,11.301052
142,0.013326,2,13.507342
143,0.027405,1,13.136062
144,0.025922,2,13.887630
145,0.000000,1,14.304683
146,0.027809,2,12.945290
147,0.026241,1,13.718938
148,0.000000,1,14.245470
149,0.023568,1,15.274728
150,0.025239,2,14.263756
151,0.016165,2,11.134953
152,0.024525,2,14.679058
153,0.014927,2,12.059084
154,0.026815,1,13.425221
155,0.031032,1,11.600888
156,0.015258,2,11.796725
157,0.017324,2,10.390019
158,0.000000,1,10.867482
159,0.030732,2,11.714058
160,0.017431,2,10.326589
161,0.000000,1,9.675720
162,0.000000,2,11.691877
163,-0.026241,1,13.718938
164,-0.038846,2,13.901193
