ID,Pendiente,Tiempo,Velocidad
1,0.000000,6,0.350620
2,0.000000,2,0.241225
3,0.000000,1,1.367251
4,0.000000,1,4.762066
5,0.000000,2,12.555304
6,0.000000,1,20.102468
7,-0.009540,1,37.734635
8,0.000000,2,14.101736
9,0.000000,1,21.064669
10,0.000000,2,28.303681
11,0.000000,2,18.337901
12,-0.019648,1,18.322675
13,0.000000,1,14.768143
14,0.000000,1,12.330623
15,0.000000,2,7.928201
16,0.000000,1,5.465851
17,0.000000,1,15.399767
18,-0.014601,2,12.328261
19,0.000000,1,13.059144
20,0.000000,2,12.321860
21,0.000000,2,13.999108
22,0.000000,1,14.098039
23,0.000000,1,19.946887
24,0.000000,1,18.474865
25,0.000000,2,15.697958
26,0.000000,1,55.348229
27,-0.016905,1,21.295811
28,0.000000,1,35.810060
29,-0.010415,2,17.282903
30,0.000000,1,11.453504
31,0.000000,1,30.455759
32,-0.010066,2,17.881564
33,-0.012934,1,27.834667
34,-0.011686,1,30.807360
35,0.000000,2,13.596032
36,-0.017398,1,20.692386
37,0.000000,1,20.286745
38,0.000000,1,32.214683
39,0.000000,2,15.261892
40,0.000000,2,17.223529
41,0.000000,2,19.424871
42,-0.020077,1,17.931038
43,0.000000,1,15.515773
44,0.000000,1,13.740336
45,0.000000,2,13.827625
46,-0.016670,2,10.797545
47,0.000000,1,7.571365
48,0.000000,1,2.650108
49,0.000000,2,0.870214
50,-0.281959,2,0.638390
51,0.000000,1,1.184854
52,0.000000,2,1.302869
53,0.000000,1,1.935245
54,0.000000,1,1.529845
55,0.000000,14,0.707098
56,-0.017637,2,10.206104
57,0.000000,1,33.780186
58,0.011394,1,31.595162
59,0.000000,2,16.608190
60,-0.012227,1,29.443363
61,0.000000,2,10.893362
62,0.019559,1,18.405533
63,0.000000,2,10.064038
64,0.000000,2,15.313777
65,0.000000,1,15.312992
66,0.000000,2,14.758236
67,0.017798,1,20.226683
68,0.000000,1,19.444738
