ID,Pendiente,Tiempo,Velocidad
1,0.063284,1,5.688652
2,0.000000,1,2.771464
3,0.000000,1,3.769045
4,0.000000,1,5.311933
5,0.000000,2,2.149888
6,0.088336,2,2.037674
7,0.000000,1,4.433072
8,0.000000,1,4.075348
9,0.000000,13,0.330752
10,0.088336,1,4.075348
11,0.000000,2,2.037674
12,0.000000,2,2.216536
13,0.000000,2,1.964966
14,0.081208,1,4.433072
15,0.000000,1,4.075348
16,0.000000,2,2.037674
17,0.000000,2,2.149888
18,0.088336,1,4.075348
19,0.000000,1,4.433072
20,0.000000,2,2.037674
21,0.000000,6,0.716629
22,0.088336,1,4.075348
23,0.022069,1,32.625508
24,0.035241,1,40.861004
25,0.035677,2,20.180893
26,0.042225,1,25.576981
27,0.038651,1,18.628160
28,0.045817,1,23.572192
29,0.040801,2,8.823209
30,0.050735,1,28.382674
31,0.042326,1,17.010734
32,0.045427,1,15.849601
33,0.029048,1,12.393198
34,0.057661,1,12.486701
35,0.033855,1,10.633500
36,0.054309,2,6.628687
37,0.029714,1,12.115548
38,0.059808,1,12.038465
39,0.051837,2,6.944884
40,0.041022,1,8.775806
41,0.028003,2,6.427859
42,0.052685,1,13.666230
43,0.053768,1,13.390952
44,0.044063,2,8.170139
45,0.000000,1,16.165256
46,0.025224,1,14.271984
47,0.000000,1,11.467638
48,0.030133,1,11.946856
49,0.020090,2,8.959568
50,0.022898,1,15.722104
51,0.000000,1,13.233164
52,0.029259,1,12.304073
53,0.000000,2,9.671706
54,0.021064,1,17.090482
55,0.025081,1,14.353474
56,0.000000,1,14.723867
57,0.022301,1,16.142807
58,0.023353,1,15.415621
59,0.017096,2,10.529005
60,0.000000,1,21.327088
61,0.024359,1,14.779134
62,0.000000,2,0.994595
63,0.000000,1,8.138560
64,0.058825,1,6.119874
65,0.000000,1,5.584831
66,0.000000,1,4.065602
67,0.000000,2,3.402140
68,0.000000,2,1.548848
69,0.075597,2,2.381033
70,0.000000,1,7.101954
71,0.000000,1,3.928010
72,0.000000,1,3.836228
73,0.015725,1,22.892828
74,0.038785,2,18.563828
75,0.030693,1,23.458435
76,0.023635,1,30.462919
77,0.013086,2,13.755091
78,0.014506,1,24.817975
79,0.015067,2,11.946856
80,0.022997,1,15.654546
81,0.020835,1,17.278240
82,0.021830,2,8.245366
83,0.014163,1,25.418704
84,0.019402,1,18.555199
85,0.029267,1,12.300574
86,0.026803,1,13.431247
87,0.000000,1,13.738475
88,0.021502,2,8.371177
89,0.024181,1,14.887483
90,0.041554,2,8.663526
91,0.000000,1,6.358388
92,0.058500,1,6.153808
93,0.036279,2,9.923116
94,0.043060,2,8.360460
95,0.052607,1,13.686512
96,0.037072,2,9.710939
97,0.059853,1,6.014761
98,0.062745,1,5.737504
99,0.031340,1,11.486786
100,0.000000,1,3.550975
101,0.046453,1,7.749738
102,0.061485,1,5.855119
103,0.000000,1,3.708572
104,0.091649,2,1.964005
105,0.000000,1,3.708572
106,0.102443,1,3.514162
107,0.000000,1,4.926848
108,0.082289,2,2.187407
109,0.000000,1,5.228122
110,0.000000,1,1.181754
111,0.000000,1,1.448554
112,0.078600,1,4.580179
113,0.044238,2,4.068859
114,0.000000,1,4.780264
115,0.078600,1,4.580179
116,0.054359,1,6.622578
117,0.000000,1,6.571105
118,0.054785,1,6.571105
119,0.045419,2,3.963062
120,0.055796,1,12.904218
121,0.064080,1,5.618009
122,0.041166,2,8.745104
123,0.064057,1,5.620010
124,0.000000,1,5.276203
125,0.054290,1,6.631056
126,0.052685,1,6.833113
127,0.048614,2,3.702623
128,0.065844,1,5.467457
129,0.065844,1,5.467457
130,0.052435,1,6.865585
131,0.000000,2,3.531749
132,0.065844,1,5.467457
133,0.076818,1,4.686401
134,0.066318,1,5.428357
135,0.000000,1,4.243216
136,0.071482,1,10.072490
137,0.000000,2,2.488586
138,0.080767,1,4.457290
139,0.072330,1,4.977173
140,0.000000,1,4.457290
141,0.041137,1,8.751236
142,0.100500,1,3.582097
143,0.000000,1,3.834626
144,0.056006,2,6.427859
145,0.093881,1,3.834626
146,0.065124,1,5.527944
147,0.060085,2,2.995735
148,0.000000,1,5.651626
149,0.080972,1,8.891968
150,0.037267,2,4.829978
