ID,Pendiente,Tiempo,Velocidad
1,0.000000,1,6.469142
2,0.000000,2,3.344495
3,0.000000,1,0.482450
4,0.000000,1,2.103721
5,0.000000,1,3.313696
6,0.000000,1,3.378258
7,0.000000,1,2.813296
8,0.000000,1,2.643901
9,0.000000,1,3.021631
10,0.000000,1,0.837551
11,0.000000,1,0.483116
12,0.000000,1,2.412425
13,0.000000,1,4.065613
14,0.000000,7,2.529494
15,0.000000,1,4.886784
16,-0.091649,1,3.928010
17,0.000000,1,0.835628
18,0.000000,1,2.643901
19,0.000000,1,3.165728
20,0.000000,1,4.457290
21,0.000000,1,1.671516
22,0.000000,1,3.057854
23,0.000000,1,9.026186
24,0.000000,1,6.273515
25,0.000000,1,6.160597
26,0.000000,3,2.091172
27,0.000000,1,6.273515
28,0.000000,1,11.498400
29,0.000000,1,10.993975
30,0.000000,1,10.055718
31,0.000000,1,3.708576
32,0.000000,1,3.891348
33,-0.027384,1,13.146336
34,0.000000,1,5.626591
35,0.000000,1,11.779394
36,0.000000,1,4.007642
37,-0.025354,1,14.198940
38,0.000000,1,6.545293
39,0.000000,1,15.037553
40,-0.079530,1,4.526615
41,0.000000,1,11.445372
42,0.000000,1,14.653854
43,0.000000,1,5.651633
44,-0.026087,1,13.799905
45,0.000000,1,5.584849
46,0.000000,1,15.606043
47,0.000000,1,19.264914
48,0.000000,1,10.992348
49,0.000000,1,17.782531
50,0.000000,1,17.681357
51,0.000000,1,22.548589
52,-0.018088,1,19.902949
53,0.000000,1,17.252053
54,0.000000,1,21.305657
55,-0.016735,1,21.512099
56,0.000000,1,21.427376
57,-0.015757,1,22.847000
58,-0.016148,1,22.293634
59,0.000000,1,23.050454
60,0.000000,1,20.045142
61,0.000000,1,16.408274
62,0.000000,1,15.037553
63,0.000000,1,21.208712
64,0.000000,1,23.295773
65,0.000000,1,19.953684
66,0.000000,1,18.422748
67,0.000000,1,20.920918
68,0.016184,1,22.244076
69,0.000000,1,19.175828
70,0.000000,1,22.598316
71,0.000000,1,19.076170
72,-0.017151,1,20.990106
73,0.000000,1,18.706536
74,0.000000,1,15.371759
75,0.000000,1,16.951216
76,0.000000,1,13.674359
77,0.021132,1,17.036118
78,0.000000,1,20.045142
79,-0.017398,1,20.692404
80,0.000000,1,16.803058
81,0.000000,1,19.560395
82,-0.018661,1,19.291460
83,0.000000,1,18.791762
84,0.000000,1,28.233407
85,0.016034,1,22.452721
86,0.000000,1,17.893591
87,0.000000,1,13.030016
88,0.020880,1,17.241055
89,0.000000,1,12.356809
90,0.000000,1,17.621323
91,0.000000,1,7.952321
92,0.000000,1,15.399774
93,0.000000,1,13.184946
94,0.026803,1,13.431262
95,0.000000,1,6.469142
96,0.026815,1,13.425221
97,0.000000,1,3.929933
98,0.000000,1,12.607247
99,0.077164,1,4.665395
100,0.000000,1,12.690061
101,0.024899,1,14.458464
102,0.000000,1,13.879177
103,0.020855,1,17.261968
104,-0.016441,1,21.896824
105,0.000000,1,16.449862
106,0.000000,1,16.529659
107,0.000000,1,22.545392
108,0.000000,1,20.211048
109,0.000000,1,17.074721
110,0.000000,1,15.891379
111,0.017639,1,20.409458
112,0.000000,1,18.621878
113,0.018393,1,19.572739
114,0.000000,1,19.363529
115,0.000000,1,18.663602
116,0.000000,1,19.363529
117,0.000000,1,16.527474
118,0.000000,1,19.713323
119,0.000000,1,16.815852
120,0.000000,1,20.000502
121,0.015548,1,23.154437
122,0.000000,1,19.913008
123,0.000000,1,19.401703
124,0.000000,1,21.601422
125,0.000000,1,20.944919
126,0.000000,1,16.815852
127,0.000000,1,13.881337
128,-0.022777,1,15.805433
129,-0.020511,1,17.551616
130,-0.022202,1,16.214702
131,0.000000,1,16.962743
132,-0.018335,1,19.634252
133,0.000000,1,21.463006
134,0.000000,1,15.817201
135,0.000000,1,17.912606
136,0.020940,1,17.192297
137,0.000000,1,13.153730
138,0.000000,1,14.089399
139,-0.025918,1,13.889736
140,0.000000,1,16.585880
141,-0.019864,1,18.123613
142,-0.019146,1,18.802465
143,0.000000,1,18.538438
144,0.000000,1,16.257701
145,-0.023892,1,15.067620
146,0.000000,1,18.732049
147,0.000000,1,19.389380
148,0.000000,1,26.822722
149,-0.014857,1,24.231571
150,-0.016359,1,22.005979
151,0.000000,1,21.743161
152,-0.018756,1,19.194300
153,0.000000,1,16.109582
154,-0.018734,1,19.216613
155,-0.017326,1,20.777576
156,0.000000,1,23.539694
157,0.000000,1,16.257701
158,0.000000,1,16.515576
159,0.000000,1,20.453605
160,0.000000,1,19.239052
161,-0.018712,1,19.239052
162,0.000000,1,18.078577
163,0.000000,1,16.898713
164,0.000000,1,18.172739
165,0.000000,1,20.655288
166,-0.018555,1,19.401703
167,0.000000,1,20.369056
168,0.000000,1,22.745603
169,0.000000,1,19.873472
170,0.000000,1,19.042124
171,0.000000,1,19.042124
172,0.019975,1,18.022716
173,0.000000,1,19.465430
174,0.019514,1,18.448193
175,0.000000,1,18.536288
176,0.000000,1,21.074522
177,0.000000,1,16.468920
178,0.000000,1,17.661852
179,0.000000,1,19.287400
180,0.021702,1,16.588613
181,0.019815,1,18.168491
182,0.000000,1,17.349394
183,0.020747,1,17.351921
184,0.018905,1,19.042124
185,0.000000,1,18.496454
186,0.019421,1,18.536288
187,0.020320,1,17.716626
188,0.000000,1,18.138560
189,0.000000,1,16.214702
190,0.000000,1,17.912606
191,0.000000,1,19.618412
192,0.019805,1,18.177365
193,0.019463,1,18.496454
194,0.000000,1,15.993565
195,-0.020200,1,17.821739
196,0.000000,1,18.976824
197,-0.018275,1,19.699027
198,-0.022556,1,15.960294
199,-0.023112,1,15.576152
200,-0.022991,1,15.658474
201,-0.069155,1,5.205733
202,-0.026528,1,13.570488
203,0.000000,1,5.181664
204,-0.047024,1,7.655634
205,0.000000,1,3.384914
206,0.000000,1,1.673568
207,0.000000,1,2.269566
208,0.000000,1,1.740427
209,-0.106290,1,3.386974
210,0.000000,1,3.617708
211,0.000000,1,3.057854
212,0.000000,1,3.617708
213,0.000000,1,3.384914
214,0.000000,1,9.294563
215,0.000000,3,2.641507
216,0.000000,1,8.213000
217,0.000000,1,7.924522
218,0.000000,1,16.971120
219,0.000000,1,7.375273
220,0.000000,1,17.519018
221,0.000000,1,15.461986
222,0.000000,1,15.067620
223,0.000000,1,14.822028
224,0.000000,1,15.257232
225,0.000000,1,15.042136
226,0.000000,1,14.772784
227,0.023726,1,15.173280
228,0.000000,1,16.468920
229,0.000000,1,18.123613
230,0.000000,1,15.708233
231,0.000000,1,10.809976
232,0.000000,1,15.117440
233,0.000000,1,14.560603
234,0.000000,1,14.772784
235,0.000000,1,14.687942
236,0.000000,1,14.918015
237,0.000000,1,15.299125
238,0.000000,1,16.127150
