ID,Pendiente,Tiempo,Velocidad
1,0.056618,1,6.358392
2,0.054611,1,6.592046
3,0.000000,1,5.467460
4,0.061248,1,11.755566
5,0.000000,1,5.181664
6,0.093881,1,3.834630
7,0.048614,1,7.405258
8,0.026703,1,13.481701
9,0.082289,1,4.374817
10,0.047614,1,15.121584
11,0.000000,1,4.926856
12,0.064078,1,11.236234
13,0.000000,1,4.374817
14,0.073069,1,4.926856
15,0.000000,1,4.452545
16,0.070454,1,5.109746
17,0.061930,1,5.812974
18,0.000000,1,6.861794
19,0.058217,1,6.183803
20,0.054359,1,6.622589
21,0.000000,1,4.995824
22,0.146090,1,2.464232
23,0.000000,1,3.928010
24,0.049979,1,7.203046
25,0.622799,1,6.358392
26,0.117125,1,12.294562
27,0.171837,1,4.190018
28,0.132305,1,8.162982
29,0.123174,1,5.845378
30,0.143113,1,15.092932
31,0.119520,1,6.024092
32,0.140505,1,12.810888
33,0.149883,1,12.009373
34,-0.057878,1,12.439998
35,0.000000,1,3.021631
36,0.000000,1,1.184854
37,0.000000,1,4.634705
38,0.000000,1,6.331464
39,0.032987,1,10.913386
40,0.000000,1,4.039024
41,0.000000,1,5.812974
42,0.000000,1,5.991484
43,0.031431,1,11.453522
44,0.000000,1,3.514172
45,-0.129821,1,11.092183
46,-0.267391,1,4.039024
47,-0.261107,1,6.893719
48,-0.255504,1,7.044898
49,-0.313329,1,6.893719
50,-0.265642,1,4.065617
51,-0.242818,1,7.412954
52,-0.316418,1,5.688673
53,-0.233743,1,6.160601
54,-0.292179,1,6.160601
55,-0.227849,1,7.899955
56,0.000000,1,5.890828
57,0.000000,1,14.168228
58,0.000000,1,4.526618
59,0.000000,1,14.444208
60,0.000000,1,4.628938
61,0.000000,1,15.277007
62,0.000000,1,5.130540
63,0.000000,1,10.790399
64,0.000000,1,11.469510
65,0.000000,1,11.400109
66,0.000000,1,15.277007
67,0.000000,1,4.397684
68,0.000000,1,10.932728
69,0.000000,1,15.856074
70,0.000000,1,5.649584
71,0.000000,1,15.121584
72,0.000000,1,5.296230
73,0.000000,1,13.340160
74,0.000000,1,3.893450
75,0.000000,1,13.918378
76,0.000000,1,4.580186
77,0.028973,1,12.425238
78,0.000000,1,4.151106
79,0.000000,1,14.425682
80,0.000000,1,4.395438
81,0.000000,1,11.180128
82,0.000000,1,15.942820
83,0.000000,1,5.196244
84,0.025097,1,14.344319
85,0.000000,1,4.395438
86,0.000000,1,12.404095
87,0.000000,1,3.610451
88,0.000000,1,4.800420
89,0.056085,1,6.418858
90,0.044751,1,8.044538
91,0.055613,1,6.473344
92,0.029870,1,12.052188
93,0.000000,1,3.674693
94,0.063982,1,5.626598
95,0.000000,1,6.874420
96,0.033363,1,10.790399
97,0.000000,1,3.891352
98,0.000000,1,5.311944
99,0.062745,1,5.737511
100,0.141326,1,5.094612
101,0.117689,1,6.117804
102,0.117649,1,6.119874
103,0.180790,1,7.965025
104,0.123785,1,11.633058
105,0.119141,1,3.021631
106,0.155534,1,6.943802
107,0.144660,1,4.977173
108,0.116215,1,3.097696
109,0.175441,1,2.051975
110,0.175441,1,2.051975
111,0.000000,1,1.529845
112,0.175441,1,2.051975
113,0.175441,1,2.051975
114,0.175441,1,2.051975
115,0.119478,1,9.039287
116,0.120692,1,2.982794
117,0.119141,1,3.021631
118,0.068492,1,5.256119
119,0.095851,1,7.511670
120,0.100324,1,7.176737
121,0.100324,1,7.176737
122,0.139422,1,12.910435
123,0.136983,1,5.256119
124,0.144153,1,12.486701
125,0.095262,1,3.779046
126,0.169209,1,6.382652
127,0.147838,1,7.305296
128,0.149882,1,12.009413
129,0.212579,1,3.386974
130,0.159495,1,11.285597
131,0.221004,1,4.886784
132,0.144695,1,12.439998
133,0.174161,1,4.134100
134,0.165468,1,13.053852
135,0.214809,1,5.027717
136,0.147838,1,14.610593
137,0.157741,1,4.564440
138,0.143776,1,15.023336
139,0.071603,1,5.027717
140,0.134366,1,8.037770
141,0.176474,1,6.119874
142,0.099030,1,10.905775
143,0.159530,1,4.513266
144,0.125995,1,11.429035
145,0.157741,1,4.564440
146,0.098559,1,7.305296
147,0.150486,1,7.176737
148,0.127830,1,11.264954
149,0.096050,1,3.748064
150,0.154731,1,11.633098
151,0.087078,1,4.134215
152,0.145352,1,12.383748
153,0.087081,1,4.134100
154,0.132299,1,10.884413
155,0.174156,1,4.134215
156,0.141006,1,12.765413
157,0.073667,1,4.886878
158,0.133197,1,13.513802
159,0.095262,1,3.779046
160,0.143776,1,7.511670
161,0.106559,1,6.756851
162,0.159836,1,6.756919
163,0.068492,1,5.256119
164,0.128066,1,5.622098
165,0.169207,1,6.382724
166,0.112806,1,6.382652
167,0.118761,1,6.062602
168,0.110920,1,6.491189
169,0.168250,1,6.419009
170,0.109418,1,6.580242
171,0.112167,1,6.419009
172,0.118761,1,6.062602
173,0.159029,1,6.791206
174,0.144074,1,7.496129
175,0.136983,1,5.256119
176,0.125164,1,8.628692
177,0.096050,1,3.748064
178,0.192099,1,3.748064
179,0.106019,1,6.791206
180,0.159836,1,6.756919
181,0.131526,1,10.948414
182,0.190524,1,3.779046
183,0.132040,1,10.905775
184,0.288149,1,3.748064
185,0.000000,1,6.214255
186,0.000000,1,6.056644
187,0.000000,1,3.165732
188,0.000000,1,4.151106
189,0.000000,1,3.610451
190,0.000000,1,4.007650
191,0.000000,1,3.200350
192,0.000000,1,1.989198
193,0.000000,1,1.276783
194,0.000000,1,0.483116
195,0.000000,1,2.047075
196,0.000000,1,0.482450
197,0.000000,1,0.483116
198,0.000000,1,0.483872
199,0.000000,1,0.483116
200,0.000000,1,0.483116
201,0.000000,3,0.161291
202,0.000000,24,0.165767
203,0.000000,1,4.065617
204,0.000000,1,5.130540
205,0.000000,1,3.165732
206,0.000000,1,6.119874
207,0.000000,1,8.807609
208,0.000000,1,9.347843
209,0.000000,1,8.807609
210,0.531359,1,8.807609
211,0.108755,1,29.791631
212,0.096868,1,22.298306
213,0.108883,1,16.531434
214,0.106981,1,13.460396
215,0.116275,1,15.480576
216,0.140019,1,5.142175
217,0.097973,1,14.697925
218,0.072960,1,4.934178
219,0.131170,1,10.978096
220,0.109492,1,13.151592
221,0.089585,1,12.055568
222,0.103472,1,6.958426
223,0.144660,1,4.977173
224,0.103472,1,6.958426
225,0.099651,1,7.225182
226,0.112806,1,6.382652
227,0.112167,1,6.419009
228,0.104964,1,6.859469
229,0.110920,1,6.491189
230,0.078871,1,4.564440
